day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,holiday,workingday,temp,humidity_windspeed,season_1,season_2,season_3,season_4,Clear,Few clouds,Partly cloudy,Mist,Cloudy,Broken clouds,Light Snow,Light Rain,Thunderstorm,Scattered clouds,Heavy Rain,Ice Pallets,Snow,Fog,casual,registered,total_count,total_count_smoothed_kalman
1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.344167,0.129292681518,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,331,654,985,622.0304242937852
2,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.363478,0.173004766893,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,131,670,801,881.091272881356
3,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.196364,0.108578821357,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,120,1229,1349,1220.2433943502829
4,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.2,0.09464436876,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,108,1454,1562,1430.6389101694929
5,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.226957,0.0816672633,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,82,1518,1600,1509.673336158196
6,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.204348,0.0464181501172,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,88,1518,1606,1498.3810983050946
7,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.196522,0.084142981296,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,148,1362,1510,1379.469958757088
8,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.165,0.14296238773199998,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,68,891,959,1130.02877796617
9,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.138333,0.15714674565,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,54,768,822,1051.6163751414217
10,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.150833,0.10781942983899999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,41,1280,1321,1202.8203474580944
11,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.169091,0.083827008048,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,43,1220,1263,1235.8446672328614
12,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.172727,0.182637594715,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,1137,1162,1241.7136542404903
13,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.165,0.14159551699999998,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,38,1368,1406,1327.2962954886098
14,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.16087,0.068060804648,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,54,1367,1421,1334.175232225339
15,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.233333,0.07878404625,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,222,1026,1248,1254.2294011874071
16,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.231667,0.09115446375,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,251,953,1204,1180.5129713368824
17,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,1,0,0.175833,0.1042841375,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,117,883,1000,1083.30951282324
18,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.216667,0.12647117392499999,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,9,674,683,1069.415567132838
19,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.292174,0.154516843263,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,78,1572,1650,1441.9371885752737
20,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.261667,0.10546158803199998,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,83,1844,1927,1606.3959985929837
21,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.1775,0.161460913086,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,75,1468,1543,1450.2508072036776
22,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.0591304,0.068788,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,93,888,981,1201.356423018049
23,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.0965217,0.10764632520000002,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,150,836,986,1172.8184618504692
24,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.0973913,0.07785703587,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,86,1330,1416,1331.0989625333589
25,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.223478,0.08007855077199999,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,186,1799,1985,1404.4784257496071
26,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.2175,0.253445625,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,34,472,506,897.3363147154627
27,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.195,0.07826293749999999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,15,416,431,781.530518396781
28,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.203478,0.09778220190000002,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,38,1129,1167,1016.25524047488
29,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.196522,0.09474003973499999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,123,975,1098,1100.2352030278594
30,1,0,0,0,0,0,0,0,0,0,0,0,2011,1,0,0,0,0,0,0,0,0,0.216522,0.0534283101724,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,140,956,1096,1186.4503686086978
31,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,1,0,0,0,0,0,0,1,0.180833,0.11301717,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,42,1459,1501,1363.1159027982342
1,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,1,0,0,0,0,0,1,0.192174,0.044143642345000005,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,47,1313,1360,1401.8973397860047
2,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,1,0,0,0,0,1,0.26,0.204948916436,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,72,1454,1526,1482.5761165597803
3,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,1,0,0,0,1,0.186957,0.12160704715199999,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,61,1489,1550,1519.8310098933362
4,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,1,0,0,1,0.211304,0.074813556063,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,88,1620,1708,1526.9169131202282
5,0,1,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.233333,0.149669291193,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,100,905,1005,1352.9197294673484
