hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,year,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,holiday,workingday,temp,humidity_windspeed,season_1,season_2,season_3,season_4,Clear,Few clouds,Partly cloudy,Mist,Cloudy,Broken clouds,Light Snow,Light Rain,Thunderstorm,Scattered clouds,Heavy Rain,Ice Pallets,Snow,Fog,casual,registered,total_count,total_count_smoothed_kalman
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.24,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,13,16,14.026655952416071
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.22,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,32,40,26.07996785724822
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.22,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,27,32,24.21324761932858
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.24,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,10,13,14.559775000737524
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.24,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.466077382883994
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.24,0.0672,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3.8384571479144567
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.22,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4.049294060859375
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.2,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6.309425034663668
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.24,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,8,11.878981043131631
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.32,0.0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,6,14,21.32751809473122
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.38,0.19281199999999998,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12,24,36,38.10357324106204
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.36,0.22971600000000003,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,26,30,56,56.98320162845489
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.42,0.218372,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,29,55,84,76.84603164430263
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.46,0.21491999999999997,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,47,47,94,89.55489330445302
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.46,0.204192,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,35,71,106,97.81864826905644
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.44,0.229845,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,40,70,110,97.9010515027163
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2011,0,0,0,0,0,0,1,0,0,0.42,0.24477,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,41,52,93,85.88450623909243
